-5.5925,63.0279,1899.36
-1.29448e-05,5.86684e-06,-1
-631.866,-214.607,1899.37
9.81171,-621.854,1899.36
620.681,340.663,1899.36
-20.9967,747.909,1899.37
2909.99,6.55214,-106.784
-1,6.52462e-06,-1.50338e-05
2909.99,-602.428,-379.629
2909.98,1.88905,558.622
2909.99,617.548,167.78
2910,9.2001,-773.909
90.3763,90.0558,0
90.4543,89.9777,0
727.699,729.242,0
1116.03,1121.1,0
2.91196,0,0
0.000875548,0,0
1,0,0
716.074,105.311,2307.09
-0.179894,0.249985,-0.951391
552.872,740.567,2504.86
49.7796,173.473,2450.98
879.276,-529.944,2109.31
1382.37,37.1495,2163.19
3317.77,-717.262,-150.938
-0.951419,0.181489,-0.248723
3174.12,-1377.53,-83.2314
3129.48,-866.106,460.712
3454.65,-84.1193,-212.545
3512.83,-541.296,-768.686
91.3592,88.697,0
87.3714,92.6849,0
722.28,747.944,0
1081.9,1133.07,0
3.39777,0,0
0.00108591,0,0
2,0,0
-956.34,407.617,3247.89
0.241149,0.248843,-0.938043
-1620.61,422.579,3081.09
-1186.47,-198.939,3027.82
-292.071,392.655,3414.69
-726.21,1014.17,3467.96
4259.16,955.738,-454.46
-0.938149,-0.240892,-0.248691
4415.31,324.75,-432.286
4047.78,1179.71,126.001
4100.59,1590.32,-470.946
4472.98,728.179,-1040.61
90.1179,91.4396,0
90.411,91.1465,0
726.453,732.216,0
1085.22,1098.39,0
4.38867,0,0
0.00143449,0,0
3,0,0
